commune;code_insee;code_postal;epci;departement;nombre_de_souscriptions_vae_classique;nombre_de_souscriptions_cargo;nombre_de_souscriptions_jo
COLLEGIEN;77090;77121;CA Marne et Gondoire;77;8;0;<5
CORBEIL ESSONNES;91100;91174;CA Grand Paris Sud Seine Essonne Sénart;91;96;<5;0
COULOMBS EN VALOIS;77840;77129;CC du Pays de l'Ourcq;77;<5;0;0
DIJON;21000;21231;Dijon Métropole;21;<5;0;0
DREUX;28100;28134;CA Agglo du Pays de Dreux;28;0;<5;0
ENGHIEN LES BAINS;95880;95210;CA Plaine Vallée;95;36;<5;<5
EVRY;91000;91228;CA Grand Paris Sud Seine Essonne Sénart;91;152;<5;0
FEUCHEROLLES;78810;78233;CC Gally Mauldre;78;7;0;0
FLEURY MEROGIS;91700;91235;CA Cœur d'Essonne Agglomération;91;<5;<5;0
FONTAINS;77370;77190;CC Brie Nangissienne;77;<5;0;0
FONTENAY SOUS BOIS;94120;94033;EPT Paris Est Marne et Bois;94;652;81;<5
FORGES LES BAINS;91470;91249;CC du Pays de Limours (CCPL);91;6;0;0
FOURQUEUX;78112;78251;;78;17;0;0
GARGENVILLE;78440;78267;CU Grand Paris Seine et Oise;78;13;<5;0
GIVORS;69700;69091;Métropole de Lyon;69;<5;0;0
GOUSSONVILLE;78930;78281;CU Grand Paris Seine et Oise;78;<5;0;0
GROSLAY;95410;95288;CA Plaine Vallée;95;24;<5;0
GROSROUVRE;78490;78289;CC Cœur d'Yvelines;78;<5;0;0
HARDRICOURT;78250;78299;CU Grand Paris Seine et Oise;78;<5;0;0
HERICY;77850;77226;CA du Pays de Fontainebleau;77;6;0;0
HOUDAN;78550;78310;CC du Pays Houdanais (C.C.P.H.);78;<5;<5;0
HOUILLES;78800;78311;CA Saint-Germain Boucles de Seine;78;168;12;<5
JOUY SUR MORIN;77320;77240;CC des Deux Morin;77;<5;0;0
JUZIERS;78820;78327;CU Grand Paris Seine et Oise;78;<5;0;0
L ETANG LA VILLE;78620;78224;CA Saint-Germain Boucles de Seine;78;38;5;<5
L ILE ST DENIS;93450;93039;EPT Plaine Commune;93;61;5;<5
LA FERTE ALAIS;91590;91232;CC du Val d'Essonne (CCVE);91;<5;0;0
LA MADELEINE;59110;59368;Métropole Européenne de Lille;59;<5;0;0
LA ROCHE SUR YON;85000;85191;CA La Roche-sur-Yon Agglomération;85;0;0;<5
LA TRETOIRE;77510;77472;CC des Deux Morin;77;<5;0;0
LAVERSINES;60510;60355;CA du Beauvaisis;60;<5;0;0
LE BIGNON MIRABEAU;45210;45032;CC des Quatre Vallées;45;<5;0;0
LE KREMLIN BICETRE;94270;94043;EPT Grand Orly Val de Bièvre Seine Amont;94;262;8;<5
LE MEE SUR SEINE;77350;77285;CA Melun Val de Seine;77;27;<5;0
LE MESNIL LE ROI;78600;78396;CA Saint-Germain Boucles de Seine;78;20;<5;0
LE PIN;77181;77363;CC Plaines et Monts de France;77;<5;0;0
LE RAINCY;93340;93062;EPT Grand Paris Grand Est;93;58;<5;0
LES MESNULS;78490;78398;CC Cœur d'Yvelines;78;<5;0;0
LES MOLIERES;91470;91411;CC du Pays de Limours (CCPL);91;<5;0;0
LESCHEROLLES;77320;77247;CC des Deux Morin;77;<5;<5;0
LESCHES;77450;77248;CA Marne et Gondoire;77;0;<5;0
LIEUSAINT;77127;77251;CA Grand Paris Sud Seine Essonne Sénart;77;10;<5;0
LIMAY;78520;78335;CU Grand Paris Seine et Oise;78;63;0;0
LISSES;91090;91340;CA Grand Paris Sud Seine Essonne Sénart;91;6;0;0
LOGNES;77185;77258;CA Paris - Vallée de la Marne;77;19;<5;0
LUCHE PRINGE;72800;72175;CC Sud Sarthe;72;<5;0;0
LURE;70200;70310;CC du Pays de Lure;70;<5;0;0
LYON 09;69009;69389;;69;<5;0;0
MAGNY LE HONGRE;77700;77268;CA Val d'Europe Agglomération;77;7;0;0
MANDRES LES ROSES;94520;94047;EPT Grand Paris Sud Est Avenir;94;12;0;0
MANTES LA VILLE;78711;78362;CU Grand Paris Seine et Oise;78;27;0;0
MAREIL MARLY;78750;78367;CA Saint-Germain Boucles de Seine;78;31;<5;<5
MAROLLES EN BRIE;94440;94048;EPT Grand Paris Sud Est Avenir;94;9;0;0
MEUDON;92190;92048;EPT Grand Paris Seine Ouest;92;575;63;6
MOISSON;78840;78410;CC Les Portes de l'Ile de France;78;<5;0;0
MOISSY CRAMAYEL;77550;77296;CA Grand Paris Sud Seine Essonne Sénart;77;10;<5;0
MONS EN MONTOIS;77520;77298;CC Bassée-Montois;77;<5;0;0
MONTCOURT FROMONVILLE;77140;77302;CC Pays de Nemours;77;<5;0;0
MONTESSON;78360;78418;CA Saint-Germain Boucles de Seine;78;53;<5;0
MONTREUIL;28500;28267;CA Agglo du Pays de Dreux;28;<5;0;0
MONTREUIL;93100;93048;EPT Est Ensemble;93;2254;184;21
MONTROUGE;92120;92049;EPT Vallée Sud Grand Paris;92;623;40;7
MORANGIS;91420;91432;EPT Grand Orly Val de Bièvre Seine Amont;91;23;0;0
MORIGNY CHAMPIGNY;91150;91433;CA Étampois Sud-Essonne;91;<5;0;0
NEAUPHLE LE VIEUX;78640;78443;CC Cœur d'Yvelines;78;<5;<5;0
NEMOURS;77140;77333;CC Pays de Nemours;77;9;<5;0
NOGENT SUR OISE;60180;60463;CA Creil Sud Oise;60;5;0;0
NOISIEL;77186;77337;CA Paris - Vallée de la Marne;77;26;<5;0
NOISY LE SEC;93130;93053;EPT Est Ensemble;93;376;28;<5
OINVILLE SUR MONTCIENT;78250;78460;CU Grand Paris Seine et Oise;78;<5;0;0
ORLEANS;45000;45234;Orléans Métropole;45;<5;0;0
ORLY;94310;94054;EPT Grand Orly Val de Bièvre Seine Amont;94;67;0;0
ORPHIN;78125;78470;CA Rambouillet Territoires;78;<5;0;0
OZOIR LA FERRIERE;77330;77350;CC Les Portes Briardes entre Villes et Forêts;77;12;<5;0
PARIS 18;75018;75118;Paris;75;6304;228;67
PARIS 20;75020;75120;Paris;75;4498;182;35
POMMEUSE;77515;77371;CA Coulommiers Pays de Brie;77;<5;0;0
POMPONNE;77400;77372;CA Marne et Gondoire;77;7;<5;0
PONTCARRE;77135;77374;CA Marne et Gondoire;77;<5;0;0
PONTOISE;95300;95500;CA de Cergy-Pontoise;95;100;<5;0
PORCHEVILLE;78440;78501;CU Grand Paris Seine et Oise;78;5;0;0
PORNICHET;44380;44132;CA de la Région Nazairienne et de l'Estuaire (CARENE);44;<5;0;0
PRUNAY EN YVELINES;78660;78506;CA Rambouillet Territoires;78;<5;<5;0
PUSSAY;91740;91511;CA Étampois Sud-Essonne;91;<5;0;0
QUIERS;77720;77381;CC Brie Nangissienne;77;<5;0;0
REAU;77550;77384;CA Grand Paris Sud Seine Essonne Sénart;77;<5;0;0
ROISSY EN BRIE;77680;77390;CA Paris - Vallée de la Marne;77;21;<5;0
ROSNY SUR SEINE;78710;78531;CU Grand Paris Seine et Oise;78;7;0;<5
RUEIL MALMAISON;92500;92063;EPT Paris Ouest La Défense;92;755;53;8
SAINTRY SUR SEINE;91250;91577;CA Grand Paris Sud Seine Essonne Sénart;91;8;0;0
SAMOIS SUR SEINE;77920;77441;CA du Pays de Fontainebleau;77;9;0;0
SARCELLES;95200;95585;CA Roissy Pays de France;95;100;<5;<5
SCEAUX;92330;92071;EPT Vallée Sud Grand Paris;92;234;12;<5
SCHILTIGHEIM;67300;67447;Eurométropole de Strasbourg;67;<5;0;0
SENLISSE;78720;78590;CC de la Haute Vallée de Chevreuse;78;<5;0;0
SENS;89100;89387;CA du Grand Sénonais;89;<5;0;0
SERVON;77170;77450;CC l'Orée de la Brie;77;<5;<5;<5
SEVRES;92310;92072;EPT Grand Paris Seine Ouest;92;332;39;<5
SOISY SOUS MONTMORENCY;95230;95598;CA Plaine Vallée;95;30;9;0
SOISY SUR ECOLE;91840;91599;CC des Deux Vallées;91;<5;0;0
SOUVIGNARGUES;30250;30324;CC du Pays de Sommières;30;<5;0;0
ST DENIS;93200;93066;EPT Plaine Commune;93;724;20;<5
ST GERMAIN LAXIS;77950;77410;CA Melun Val de Seine;77;<5;0;0
ST LAMBERT;78470;78561;CC de la Haute Vallée de Chevreuse;78;0;<5;0
STAINS;93240;93072;EPT Plaine Commune;93;122;<5;0
THIVERVAL GRIGNON;78850;78615;CC Cœur d'Yvelines;78;<5;<5;0
THOIRY;78770;78616;CC Cœur d'Yvelines;78;<5;0;0
THOUARE SUR LOIRE;44470;44204;Nantes Métropole;44;<5;0;0
TOURNAN EN BRIE;77220;77470;CC Les Portes Briardes entre Villes et Forêts;77;11;0;0
VALENCIENNES;59300;59606;CA Valenciennes Métropole;59;<5;0;0
VALENTON;94460;94074;EPT Grand Orly Val de Bièvre Seine Amont;94;37;<5;0
VALPUISEAUX;91720;91629;CA Étampois Sud-Essonne;91;<5;0;0
VERNEUIL SUR SEINE;78480;78642;CU Grand Paris Seine et Oise;78;27;<5;0
VERSAILLES;78000;78646;CA Versailles Grand Parc (C.A.V.G.P.);78;717;112;13
VIGNY;95450;95658;CC Vexin Centre;95;<5;0;0
VILLEJUST;91140;91666;CA Communauté Paris-Saclay;91;<5;0;0
VILLEMOISSON SUR ORGE;91360;91667;CA Cœur d'Essonne Agglomération;91;8;<5;0
VILLENEUVE LA GUYARD;89340;89460;CC Yonne Nord;89;<5;0;0
VILLENEUVE ST DENIS;77174;77510;CA Val d'Europe Agglomération;77;<5;0;0
VILLENOY;77124;77513;CA du Pays de Meaux;77;7;0;0
VILLIERS ADAM;95840;95678;CC de la Vallée de l'Oise et des Trois Forêts;95;<5;0;0
VILLIERS EN BIERE;77190;77518;CA Melun Val de Seine;77;5;0;0
VITRY SUR SEINE;94400;94081;EPT Grand Orly Val de Bièvre Seine Amont;94;647;55;<5
VOUVRAY;37210;37281;CC Touraine-Est Vallées;37;<5;0;0
ABLIS;78660;78003;CA Rambouillet Territoires;78;<5;0;0
ACHERES;78260;78005;CU Grand Paris Seine et Oise;78;36;0;0
AIGREMONT;78240;78007;CA Saint-Germain Boucles de Seine;78;0;<5;0
ALBI;81000;81004;CA de l'Albigeois (C2A);81;<5;0;0
AMBOISE;37400;37003;CC du Val d'Amboise;37;<5;0;0
ANGERS;49000;49007;CU Angers Loire Métropole;49;<5;0;0
ANGICOURT;60940;60013;CC des Pays d'Oise et d'Halatte;60;0;<5;0
ARNOUVILLE;95400;95019;CA Roissy Pays de France;95;17;<5;0
ATTAINVILLE;95570;95028;CA Plaine Vallée;95;<5;0;0
AUFFARGIS;78610;78030;CA Rambouillet Territoires;78;<5;0;0
AVERNES;95450;95040;CC Vexin Centre;95;<5;0;0
AVON;77210;77014;CA du Pays de Fontainebleau;77;28;11;0
BAGNOLET;93170;93006;EPT Est Ensemble;93;733;30;10
BAILLET EN FRANCE;95560;95042;CC Carnelle Pays-De-France;95;<5;0;0
BAULNE;91590;91047;CC du Val d'Essonne (CCVE);91;<5;0;0
BAZEMONT;78580;78049;CC Gally Mauldre;78;0;<5;0
BENNECOURT;78270;78057;CC Les Portes de l'Ile de France;78;<5;0;0
BLENEAU;89220;89046;CC de Puisaye-Forterre;89;<5;0;0
BOISSY ST LEGER;94470;94004;EPT Grand Paris Sud Est Avenir;94;31;<5;<5
BOMBON;77720;77044;CC Brie des Rivières et Châteaux;77;<5;0;0
BONDOUFLE;91070;91086;CA Grand Paris Sud Seine Essonne Sénart;91;5;0;0
BONNIERES SUR SEINE;78270;78089;CC Les Portes de l'Ile de France;78;<5;0;0
BOURG LA REINE;92340;92014;EPT Vallée Sud Grand Paris;92;209;19;0
BREUILLET;91650;91105;CA Cœur d'Essonne Agglomération;91;23;<5;0
BREUX JOUY;91650;91106;CC Le Dourdannais en Hurepoix (CCDH);91;<5;0;0
BRIE COMTE ROBERT;77170;77053;CC l'Orée de la Brie;77;10;0;0
BROU SUR CHANTEREINE;77177;77055;CA Paris - Vallée de la Marne;77;10;0;0
BRY SUR MARNE;94360;94015;EPT Paris Est Marne et Bois;94;64;9;<5
BULLION;78830;78120;CA Rambouillet Territoires;78;<5;0;0
BUSSY ST GEORGES;77600;77058;CA Marne et Gondoire;77;47;<5;<5
BUTRY SUR OISE;95430;95120;CC Sausseron Impressionnistes;95;6;0;0
CARNETIN;77400;77062;CA Marne et Gondoire;77;7;0;0
CERGY;95000;95127;CA de Cergy-Pontoise;95;160;<5;<5
CERGY;95800;95127;CA de Cergy-Pontoise;95;89;<5;0
CERNAY LA VILLE;78720;78128;CA Rambouillet Territoires;78;<5;0;0
CHAILLY EN BRIE;77120;77070;CA Coulommiers Pays de Brie;77;<5;0;0
CHAMPAGNE SUR OISE;95660;95134;CC du Haut Val d'Oise;95;12;0;0
CHAMPIGNELLES;89350;89073;CC de Puisaye-Forterre;89;<5;0;0
CHATEAUFORT;78117;78143;CA Versailles Grand Parc (C.A.V.G.P.);78;6;<5;0
CHATILLON;92320;92020;EPT Vallée Sud Grand Paris;92;532;33;8
CHAVENAY;78450;78152;CC Gally Mauldre;78;5;0;0
CHENNEVIERES SUR MARNE;94430;94019;EPT Grand Paris Sud Est Avenir;94;49;6;0
CHESSY;77700;77111;CA Val d'Europe Agglomération;77;11;0;0
CHEVANNES;91750;91159;CC du Val d'Essonne (CCVE);91;<5;0;0
CHEVILLY LARUE;94550;94021;EPT Grand Orly Val de Bièvre Seine Amont;94;94;<5;0
CHOISY LE ROI;94600;94022;EPT Grand Orly Val de Bièvre Seine Amont;94;193;8;0
CLICHY;92110;92024;EPT Boucle Nord de Seine;92;1010;54;16
CLICHY SOUS BOIS;93390;93014;EPT Grand Paris Grand Est;93;60;<5;0
COMPIEGNE;60200;60159;CA de la Région de Compiègne et de la Basse Automne;60;<5;0;0
CONDE SUR VESGRE;78113;78171;CC du Pays Houdanais (C.C.P.H.);78;<5;0;0
CONFLANS STE HONORINE;78700;78172;CU Grand Paris Seine et Oise;78;46;<5;0
COURDIMANCHE;95800;95183;CA de Cergy-Pontoise;95;7;<5;0
DAMPIERRE EN YVELINES;78720;78193;CC de la Haute Vallée de Chevreuse;78;<5;<5;0
DEUIL LA BARRE;95170;95197;CA Plaine Vallée;95;67;<5;<5
ECQUEVILLY;78920;78206;CU Grand Paris Seine et Oise;78;<5;<5;0
ECULLY;69130;69081;Métropole de Lyon;69;<5;0;0
EGLY;91520;91207;CA Cœur d'Essonne Agglomération;91;11;0;0
ELANCOURT;78990;78208;CA de Saint-Quentin-en-Yvelines;78;40;<5;<5
EPINAY SUR ORGE;91360;91216;CA Communauté Paris-Saclay;91;31;<5;0
EZANVILLE;95460;95229;CA Plaine Vallée;95;16;0;0
FAREMOUTIERS;77515;77176;CA Coulommiers Pays de Brie;77;<5;0;0
FEROLLES ATTILLY;77150;77180;CC Les Portes Briardes entre Villes et Forêts;77;<5;0;0
FLEURY EN BIERE;77930;77185;CA du Pays de Fontainebleau;77;<5;0;0
FONTAINE LE PORT;77590;77188;CC Brie des Rivières et Châteaux;77;5;<5;0
FONTENAY TRESIGNY;77610;77192;CC Val Briard;77;6;0;0
FRANCONVILLE;95130;95252;CA Val Parisis;95;48;<5;<5
GARCHES;92380;92033;EPT Paris Ouest La Défense;92;258;27;<5
GASNY;27620;27279;CA Seine Normandie Agglomération;27;<5;0;0
GENTILLY;94250;94037;EPT Grand Orly Val de Bièvre Seine Amont;94;211;16;0
GOMMECOURT;78270;78276;CC Les Portes de l'Ile de France;78;<5;0;0
GONESSE;95500;95277;CA Roissy Pays de France;95;28;<5;0
GOUSSAINVILLE;95190;95280;CA Roissy Pays de France;95;41;<5;0
GRAULHET;81300;81105;CA Gaillac-Graulhet;81;<5;0;0
GUERVILLE;78930;78291;CU Grand Paris Seine et Oise;78;<5;0;0
IGNY;91430;91312;CA Communauté Paris-Saclay;91;59;<5;<5
ISSY LES MOULINEAUX;92130;92040;EPT Grand Paris Seine Ouest;92;974;73;20
JANVILLE SUR JUINE;91510;91318;CC Entre Juine et Renarde (CCEJR);91;<5;0;0
JANVRY;91640;91319;CC du Pays de Limours (CCPL);91;<5;0;0
JOUARRE;77640;77238;CA Coulommiers Pays de Brie;77;<5;0;0
JOUY EN JOSAS;78350;78322;CA Versailles Grand Parc (C.A.V.G.P.);78;41;<5;0
JUVISY SUR ORGE;91260;91326;EPT Grand Orly Val de Bièvre Seine Amont;91;66;<5;0
L HAY LES ROSES;94240;94038;EPT Grand Orly Val de Bièvre Seine Amont;94;217;13;<5
LA CELLE LES BORDES;78720;78125;CA Rambouillet Territoires;78;<5;0;0
LA CIOTAT;13600;13028;Métropole d'Aix-Marseille-Provence;13;<5;0;0
LA FERTE SOUS JOUARRE;77260;77183;CA Coulommiers Pays de Brie;77;6;<5;0
LA MADELEINE BOUVET;61110;61241;CC Cœur du Perche;61;<5;0;0
LARCHANT;77760;77244;CC Pays de Nemours;77;<5;0;0
LAVAL;53000;53130;CA Laval Agglomération;53;<5;0;0
LE BOURGET;93350;93013;EPT Paris Terre d'Envol;93;73;0;<5
LE COUDRAY;28630;28110;CA Chartres Métropole;28;<5;0;0
LE MANS;72000;72181;CU Le Mans Métropole;72;<5;0;0
LE PECQ;78230;78481;CA Saint-Germain Boucles de Seine;78;72;<5;<5
LE PLESSIS ROBINSON;92350;92060;EPT Vallée Sud Grand Paris;92;273;8;<5
LE PLESSIS TREVISE;94420;94059;EPT Grand Paris Sud Est Avenir;94;39;0;0
LES ALLUETS LE ROI;78580;78010;CU Grand Paris Seine et Oise;78;<5;0;0
LES GRANGES LE ROI;91410;91284;CC Le Dourdannais en Hurepoix (CCDH);91;<5;0;0
LES LILAS;93260;93045;EPT Est Ensemble;93;569;22;<5
LESIGNY;77150;77249;CC Les Portes Briardes entre Villes et Forêts;77;<5;0;0
LEVIS ST NOM;78320;78334;CC de la Haute Vallée de Chevreuse;78;7;0;0
LILLE;59260;59350;Métropole Européenne de Lille;59;<5;0;0
LIMETZ VILLEZ;78270;78337;CC Les Portes de l'Ile de France;78;<5;<5;0
LIVRY GARGAN;93190;93046;EPT Grand Paris Grand Est;93;121;6;<5
LONGPERRIER;77230;77259;CA Roissy Pays de France;77;<5;0;0
LONGUEIL ANNEL;60150;60368;CC des Deux Vallées;60;<5;0;0
LORIENT;56100;56121;CA Lorient Agglomération;56;<5;0;0
LUZARCHES;95270;95352;CC Carnelle Pays-De-France;95;<5;0;0
MAGNY EN VEXIN;95420;95355;CC du Vexin-Val de Seine;95;0;<5;0
MAISONS ALFORT;94700;94046;EPT Paris Est Marne et Bois;94;463;37;9
MAISSE;91720;91359;CC des Deux Vallées;91;<5;0;0
MALAKOFF;92240;92046;EPT Vallée Sud Grand Paris;92;432;32;<5
MAREIL EN FRANCE;95850;95365;CC Carnelle Pays-De-France;95;<5;0;0
MAREIL SUR MAULDRE;78124;78368;CC Gally Mauldre;78;<5;0;0
MAREUIL LES MEAUX;77100;77276;CA du Pays de Meaux;77;7;0;0
MAROLLES EN HUREPOIX;91630;91376;CA Cœur d'Essonne Agglomération;91;<5;0;0
MAROLLES SUR SEINE;77130;77279;CC Pays de Montereau;77;<5;0;0
MARSEILLE 04;13004;13204;;13;<5;0;0
MASSY;91300;91377;CA Communauté Paris-Saclay;91;468;24;5
MAUGES SUR LOIRE;49410;49244;CA Mauges Communauté;49;<5;0;0
MAULE;78580;78380;CC Gally Mauldre;78;11;<5;0
MEAUX;77100;77284;CA du Pays de Meaux;77;96;<5;<5
MELUN;77000;77288;CA Melun Val de Seine;77;121;<5;0
MENNECY;91540;91386;CC du Val d'Essonne (CCVE);91;22;<5;<5
MEUDON;92360;92048;EPT Grand Paris Seine Ouest;92;66;6;0
MILLY LA FORET;91490;91405;CC des Deux Vallées;91;<5;<5;0
MONTGEROULT;95650;95422;CC Vexin Centre;95;<5;0;0
MONTIGNY LE BRETONNEUX;78180;78423;CA de Saint-Quentin-en-Yvelines;78;92;8;<5
MOURS;95260;95436;CC du Haut Val d'Oise;95;<5;0;0
NANTES;44100;44109;Nantes Métropole;44;<5;0;0
NESLES LA VALLEE;95690;95446;CC Sausseron Impressionnistes;95;<5;5;0
NEUVILLE SUR OISE;95000;95450;CA de Cergy-Pontoise;95;8;0;0
NIVILLERS;60510;60461;CA du Beauvaisis;60;<5;0;0
NOINTEL;95590;95452;CC du Haut Val d'Oise;95;<5;0;0
NOISY LE ROI;78590;78455;CA Versailles Grand Parc (C.A.V.G.P.);78;39;6;<5
NOISY SUR ECOLE;77123;77339;CA du Pays de Fontainebleau;77;<5;0;0
NOYELLES SOUS LENS;62221;62628;CA de Lens - Liévin;62;<5;0;0
ORGERUS;78910;78465;CC du Pays Houdanais (C.C.P.H.);78;<5;0;0
ORMESSON SUR MARNE;94490;94055;EPT Grand Paris Sud Est Avenir;94;29;0;0
OTHIS;77280;77349;CA Roissy Pays de France;77;<5;0;0
PALAISEAU;91120;91477;CA Communauté Paris-Saclay;91;299;16;<5
PANTIN;93500;93055;EPT Est Ensemble;93;1219;66;10
PARIS 02;75002;75102;Paris;75;535;46;5
PARIS 06;75006;75106;Paris;75;665;55;5
PARIS 15;75015;75115;Paris;75;3592;264;58
PARIS 17;75017;75117;Paris;75;3836;216;49
PENCHARD;77124;77358;CA du Pays de Meaux;77;<5;0;0
POISSY;78300;78498;CU Grand Paris Seine et Oise;78;124;12;0
PONT L ABBE;29120;29220;CC du Pays Bigouden Sud;29;<5;0;0
PROVINS;77160;77379;CC du Provinois;77;13;0;0
QUINCY SOUS SENART;91480;91514;CA Val d'Yerres Val de Seine;91;8;0;0
REIMS;51100;51454;CU du Grand Reims;51;<5;0;0
RENNES;35000;35238;Rennes Métropole;35;<5;0;0
RICHEBOURG;78550;78520;CC du Pays Houdanais (C.C.P.H.);78;<5;0;0
RIS ORANGIS;91130;91521;CA Grand Paris Sud Seine Essonne Sénart;91;36;0;0
ROZAY EN BRIE;77540;77393;CC Val Briard;77;<5;0;0
RUBELLES;77950;77394;CA Melun Val de Seine;77;7;0;0
SACLAS;91690;91533;CA Étampois Sud-Essonne;91;<5;0;0
SAMOREAU;77210;77442;CA du Pays de Fontainebleau;77;5;0;0
SANNOIS;95110;95582;CA Val Parisis;95;69;<5;0
SEINE PORT;77240;77447;CA Melun Val de Seine;77;5;0;0
SERMAISE;91530;91593;CC Le Dourdannais en Hurepoix (CCDH);91;<5;<5;0
SERRIS;77700;77449;CA Val d'Europe Agglomération;77;14;0;0
ST DENIS;93210;93066;EPT Plaine Commune;93;156;15;0
ST OUEN;93400;93070;EPT Plaine Commune;93;943;59;11
ST PRIX;95390;95574;CA Plaine Vallée;95;15;<5;0
ST REMY L HONORE;78690;78576;CC Cœur d'Yvelines;78;<5;0;0
ST REMY LES CHEVREUSE;78470;78575;CC de la Haute Vallée de Chevreuse;78;41;<5;0
SUCY EN BRIE;94370;94071;EPT Grand Paris Sud Est Avenir;94;104;12;<5
THOMERY;77810;77463;CC Moret Seine et Loing;77;14;<5;0
THORE LA ROCHETTE;41100;41259;CA Territoires Vendômois;41;<5;0;0
TOUL;54200;54528;CC Terres Touloises;54;<5;0;0
TRIEL SUR SEINE;78510;78624;CU Grand Paris Seine et Oise;78;51;<5;0
VALLANGOUJARD;95810;95627;CC Sausseron Impressionnistes;95;<5;0;0
VANVES;92170;92075;EPT Grand Paris Seine Ouest;92;380;39;11
VAUJOURS;93410;93074;EPT Grand Paris Grand Est;93;17;0;0
VAUX LE PENIL;77000;77487;CA Melun Val de Seine;77;15;<5;0
VAUX SUR SEINE;78740;78638;CU Grand Paris Seine et Oise;78;8;<5;0
VELIZY VILLACOUBLAY;78140;78640;CA Versailles Grand Parc (C.A.V.G.P.);78;125;5;0
VENDEUVRE SUR BARSE;10140;10401;CC de Vendeuvre-Soulaines;10;<5;0;0
VERRIERES LE BUISSON;91370;91645;CA Communauté Paris-Saclay;91;183;7;<5
VERT LE GRAND;91810;91648;CC du Val d'Essonne (CCVE);91;<5;0;0
VIEILLE TOULOUSE;31320;31575;CA du Sicoval;31;<5;0;0
VIENNE EN ARTHIES;95510;95656;CC du Vexin-Val de Seine;95;<5;0;0
VILLECRESNES;94440;94075;EPT Grand Paris Sud Est Avenir;94;9;0;0
VILLEJUIF;94800;94076;EPT Grand Orly Val de Bièvre Seine Amont;94;642;40;8
VILLEMOMBLE;93250;93077;EPT Grand Paris Grand Est;93;112;8;<5
VILLENEUVE LA GARENNE;92390;92078;EPT Boucle Nord de Seine;92;79;<5;<5
VILLIERS LE BACLE;91190;91679;CA Communauté Paris-Saclay;91;<5;0;0
VILLIERS ST FREDERIC;78640;78683;CC Cœur d'Yvelines;78;9;<5;0
VIROFLAY;78220;78686;CA Versailles Grand Parc (C.A.V.G.P.);78;166;44;<5
VULAINES SUR SEINE;77870;77533;CA du Pays de Fontainebleau;77;<5;<5;0
YVETOT;76190;76758;CC Yvetot Normandie;76;<5;0;0
ALFORTVILLE;94140;94002;EPT Grand Paris Sud Est Avenir;94;377;31;<5
ANDILLY;95580;95014;CA Plaine Vallée;95;<5;0;0
ANDRESY;78570;78015;CU Grand Paris Seine et Oise;78;27;<5;<5
ARBONNE LA FORET;77630;77006;CA du Pays de Fontainebleau;77;<5;0;0
ARCUEIL;94110;94003;EPT Grand Orly Val de Bièvre Seine Amont;94;221;11;<5
ARPAJON;91290;91021;CA Cœur d'Essonne Agglomération;91;11;0;0
ATHIS MONS;91200;91027;EPT Grand Orly Val de Bièvre Seine Amont;91;81;<5;0
AVRAINVILLE;91630;91041;CA Cœur d'Essonne Agglomération;91;<5;0;0
BAILLY ROMAINVILLIERS;77700;77018;CA Val d'Europe Agglomération;77;11;0;0
BARBERY;60810;60045;CC Senlis Sud Oise;60;<5;0;0
BARBIZON;77630;77022;CA du Pays de Fontainebleau;77;<5;0;0
BAZOCHES SUR GUYONNE;78490;78050;CC Cœur d'Yvelines;78;<5;0;0
BEAUMONT SUR OISE;95260;95052;CC du Haut Val d'Oise;95;6;<5;0
BELLOY EN FRANCE;95270;95056;CC Carnelle Pays-De-France;95;<5;0;0
BEZIERS;34500;34032;CA de Béziers-Méditerranée;34;<5;0;0
BEZONS;95870;95063;CA Saint-Germain Boucles de Seine;95;146;6;<5
BLARU;78270;78068;CC Les Portes de l'Ile de France;78;<5;0;0
BOISSISE LA BERTRAND;77350;77039;CA Melun Val de Seine;77;<5;<5;0
BONDY;93140;93010;EPT Est Ensemble;93;195;5;<5
BORDEAUX;33200;33063;Bordeaux Métropole;33;<5;0;0
BORDEAUX;33800;33063;Bordeaux Métropole;33;<5;0;0
BOUSSY ST ANTOINE;91800;91097;CA Val d'Yerres Val de Seine;91;13;<5;0
BOUTERVILLIERS;91150;91098;CA Étampois Sud-Essonne;91;<5;0;0
BOUTIGNY SUR ESSONNE;91820;91099;CC des Deux Vallées;91;<5;0;0
BRETIGNY SUR ORGE;91220;91103;CA Cœur d'Essonne Agglomération;91;36;<5;0
BRIERES LES SCELLES;91150;91109;CA Étampois Sud-Essonne;91;<5;0;0
BRIIS SOUS FORGES;91640;91111;CC du Pays de Limours (CCPL);91;<5;0;0
BROUE;28410;28062;CA Agglo du Pays de Dreux;28;<5;0;0
BRUYERES LE CHATEL;91680;91115;CA Cœur d'Essonne Agglomération;91;<5;0;0
CAEN;14000;14118;CU Caen la Mer;14;<5;0;0
CARRIERES SOUS POISSY;78955;78123;CU Grand Paris Seine et Oise;78;46;<5;0
CARRIERES SUR SEINE;78420;78124;CA Saint-Germain Boucles de Seine;78;84;9;<5
CHALIFERT;77144;77075;CA Marne et Gondoire;77;<5;0;0
CHAMBOURCY;78240;78133;CA Saint-Germain Boucles de Seine;78;28;<5;0
CHAMPCUEIL;91750;91135;CC du Val d'Essonne (CCVE);91;<5;0;0
CHANTELOUP LES VIGNES;78570;78138;CU Grand Paris Seine et Oise;78;7;0;0
