commune;code_insee;code_postal;epci;departement;nombre_de_souscriptions_vae_classique;nombre_de_souscriptions_cargo;nombre_de_souscriptions_jo
PRINGY;77310;77378;CA Melun Val de Seine;77;<5;0;0
PUISEUX PONTOISE;95650;95510;CA de Cergy-Pontoise;95;<5;0;0
PUTEAUX;92800;92062;EPT Paris Ouest La Défense;92;409;32;6
RAMBOUILLET;78120;78517;CA Rambouillet Territoires;78;28;5;0
ROINVILLE;91410;91525;CC Le Dourdannais en Hurepoix (CCDH);91;<5;0;0
ROMAINVILLE;93230;93063;EPT Est Ensemble;93;619;31;<5
ROSNY SOUS BOIS;93110;93064;EPT Grand Paris Grand Est;93;236;16;<5
ROUEN;76000;76540;Métropole Rouen Normandie;76;<5;0;0
SARTROUVILLE;78500;78586;CA Saint-Germain Boucles de Seine;78;171;14;<5
SAULX LES CHARTREUX;91160;91587;CA Communauté Paris-Saclay;91;18;<5;0
SEPTEUIL;78790;78591;CC du Pays Houdanais (C.C.P.H.);78;0;<5;0
SIGNY SIGNETS;77640;77451;CA Coulommiers Pays de Brie;77;<5;0;0
SOUZY LA BRICHE;91580;91602;CC Entre Juine et Renarde (CCEJR);91;<5;0;0
ST ARNOULT EN YVELINES;78730;78537;CA Rambouillet Territoires;78;<5;0;0
ST BRICE SOUS FORET;95350;95539;CA Plaine Vallée;95;17;<5;<5
ST CLOUD;92210;92064;EPT Paris Ouest La Défense;92;461;56;7
ST CYR SOUS DOURDAN;91410;91546;CC Le Dourdannais en Hurepoix (CCDH);91;<5;0;0
ST FARGEAU PONTHIERRY;77310;77407;CA Melun Val de Seine;77;8;0;0
ST GERMAIN LES ARPAJON;91180;91552;CA Cœur d'Essonne Agglomération;91;10;0;0
ST GERMAIN SUR MORIN;77860;77413;CA Val d'Europe Agglomération;77;<5;0;0
ST GRATIEN;95210;95555;CA Plaine Vallée;95;58;<5;<5
ST MAURICE;94410;94069;EPT Paris Est Marne et Bois;94;157;14;<5
ST MICHEL SUR ORGE;91240;91570;CA Cœur d'Essonne Agglomération;91;20;<5;0
ST OUEN L AUMONE;95310;95572;CA de Cergy-Pontoise;95;33;<5;0
ST PIERRE DU PERRAY;91280;91573;CA Grand Paris Sud Seine Essonne Sénart;91;10;0;0
ST PIERRE LES NEMOURS;77140;77431;CC Pays de Nemours;77;<5;0;0
ST SAUVEUR SUR ECOLE;77930;77435;CA du Pays de Fontainebleau;77;<5;0;0
STRASBOURG;67000;67482;Eurométropole de Strasbourg;67;<5;0;0
TAVERNY;95150;95607;CA Val Parisis;95;48;<5;0
TIGERY;91250;91617;CA Grand Paris Sud Seine Essonne Sénart;91;<5;0;0
TILLY;78790;78618;CC du Pays Houdanais (C.C.P.H.);78;<5;0;0
TOUSSUS LE NOBLE;78117;78620;CA Versailles Grand Parc (C.A.V.G.P.);78;15;<5;0
TREMBLAY EN FRANCE;93290;93073;EPT Paris Terre d'Envol;93;54;<5;<5
VAIRES SUR MARNE;77360;77479;CA Paris - Vallée de la Marne;77;22;<5;5
VAUCIENNES;60117;60658;CC du Pays de Valois;60;<5;0;0
VAUHALLAN;91430;91635;CA Communauté Paris-Saclay;91;20;0;<5
VAUNOISE;61130;61498;CC des Collines du Perche Normand;61;<5;0;0
VEMARS;95470;95641;CA Roissy Pays de France;95;<5;0;0
VERT ST DENIS;77240;77495;CA Grand Paris Sud Seine Essonne Sénart;77;7;0;0
VIARMES;95270;95652;CC Carnelle Pays-De-France;95;<5;0;0
VILLEURBANNE;69100;69266;Métropole de Lyon;69;<5;0;0
VILLIERS LE MAHIEU;78770;78681;CC Cœur d'Yvelines;78;<5;0;0
VILLIERS SUR ORGE;91700;91685;CA Cœur d'Essonne Agglomération;91;12;0;0
VOULANGIS;77580;77529;CA Coulommiers Pays de Brie;77;<5;0;0
WISSOUS;91320;91689;CA Communauté Paris-Saclay;91;35;<5;0
ADAINVILLE;78113;78006;CC du Pays Houdanais (C.C.P.H.);78;<5;0;0
AIX EN PROVENCE;13090;13001;Métropole d'Aix-Marseille-Provence;13;<5;0;0
ANTONY;92160;92002;EPT Vallée Sud Grand Paris;92;664;64;5
ASNIERES SUR OISE;95270;95026;CC Carnelle Pays-De-France;95;<5;0;0
AULNAY SOUS BOIS;93600;93005;EPT Paris Terre d'Envol;93;207;<5;<5
AUVERS SUR OISE;95430;95039;CC Sausseron Impressionnistes;95;6;<5;0
BAGNEUX;92220;92007;EPT Vallée Sud Grand Paris;92;379;25;5
BALLANCOURT SUR ESSONNE;91610;91045;CC du Val d'Essonne (CCVE);91;5;<5;0
BANNOST VILLEGAGNON;77970;77020;CC du Provinois;77;0;<5;0
BESSANCOURT;95550;95060;CA Val Parisis;95;11;<5;<5
BEYNES;78650;78062;CC Cœur d'Yvelines;78;10;<5;0
BIEVRES;91570;91064;CA Versailles Grand Parc (C.A.V.G.P.);91;16;<5;0
BLAINCOURT LES PRECY;60460;60074;CC Thelloise;60;<5;0;0
BOIS D ARCY;78390;78073;CA Versailles Grand Parc (C.A.V.G.P.);78;17;0;0
BOISEMONT;95000;95074;CA de Cergy-Pontoise;95;<5;0;0
BOISSETTES;77350;77038;CA Melun Val de Seine;77;<5;0;0
BOISSY L AILLERIE;95650;95078;CC Vexin Centre;95;6;0;0
BONNELLES;78830;78087;CA Rambouillet Territoires;78;6;0;<5
BONNEUIL SUR MARNE;94380;94011;EPT Grand Paris Sud Est Avenir;94;50;<5;0
BOUFFEMONT;95570;95091;CA Plaine Vallée;95;<5;0;0
BOULLAY LES TROUX;91470;91093;CC du Pays de Limours (CCPL);91;<5;0;0
BOURGES;18000;18033;CA Bourges Plus;18;<5;0;0
BREUIL BOIS ROBERT;78930;78104;CU Grand Paris Seine et Oise;78;<5;0;0
